//<item name> <type> <damage> <speed> <knock back x> <knock back y> <max hits> <range> <animation frames> <returns>

//Melee
CopperBlade Melee 8:11:15:20:25:31:37:43:49:55:61:68:74:80:87:93:100:106:113:120 600 10 0 1 40 1 0
CopperHammer Melee 19:27:36:47:59:72:85:99:114:128:143:158:173:188:203:218:233:248:264:279 1400 30 5 2 50 1 0
CopperSpear Melee 11:15:20:27:34:41:49:57:65:73:82:90:99:107:116:124:133:142:151:159 800 5 0 1 70 1 0
CopperSword Melee 14:19:26:33:42:51:61:71:81:92:102:113:123:134:145:156:166:177:188:199 1000 10 0 1 50 1 0
EagleBlade Melee 7:10:13:17:22:26:31:36:42:47:52:58:63:69:74:80:85:91:96:102 500 5 0 1 40 1 0
FangClaw Melee 3:5:6:8:11:13:15:18:21:23:26:29:31:34:37:40:42:45:48:51 500 15 0 1 45 1 0
GoldBlade Melee 12:16:22:29:37:45:53:62:70:79:88:98:107:116:125:135:144:154:163:173 600 10 0 1 40 1 0
GoldHammer Melee 20:27:37:48:61:74:88:103:117:132:147:163:178:194:209:225:240:256:272:288 1400 30 5 2 50 1 0
GoldSpear Melee 16:22:30:39:49:59:71:82:94:106:118:130:142:155:167:180:192:205:218:230 800 5 0 1 70 1 0
GoldSword Melee 20:27:37:48:61:74:88:103:117:132:147:163:178:194:209:225:240:256:272:288 1000 10 0 1 50 1 0
IronBlade Melee 9:13:17:22:28:34:41:47:54:61:68:75:82:89:97:104:111:118:126:133 600 10 0 1 40 1 0
IronHammer Melee 22:30:40:52:66:80:95:111:126:142:159:175:192:208:225:242:259:276:293:310 1400 30 5 2 50 1 0
IronSpear Melee 12:17:23:30:37:46:54:63:72:81:91:100:110:119:129:138:148:158:167:177 800 5 0 1 70 1 0
IronSword Melee 15:21:28:37:47:57:68:79:90:102:113:125:137:149:161:173:185:197:209:221 1000 10 0 1 50 1 0
Katana Melee 22:30:40:52:66:80:95:111:126:142:159:175:192:208:225:242:259:276:293:310 1000 10 0 1 50 1 0
Net Melee 1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1 1000 10 0 1 50 1 0
RadiumiteSword Melee 24:32:43:55:68:83:98:113:129:145:162:178:195:211:228:245:262:279:296:313 800 10 0 1 50 1 0
SawSword Melee 22:30:41:53:67:82:98:113:130:146:163:180:197:214:231:249:266:283:301:318 1250 5 0 1 40 1 0
ScrapHammer Melee 34:47:64:83:105:128:152:177:202:228:254:280:307:334:360:387:414:441:469:496 1600 40 5 2 70 1 0
SilverBlade Melee 10:14:19:25:31:38:45:52:60:67:75:83:90:98:106:114:122:130:138:146 600 10 0 1 40 1 0
SilverHammer Melee 24:32:44:57:72:88:104:122:139:157:175:193:211:229:248:266:285:303:322:341 1400 30 5 2 50 1 0
SilverSpear Melee 14:19:25:33:41:50:60:69:79:90:100:110:121:131:142:152:163:173:184:195 800 5 0 1 70 1 0
SilverSword Melee 17:23:31:41:51:63:75:87:99:112:125:138:151:164:177:190:203:217:230:243 1000 10 0 1 50 1 0
Stick Melee 8:11:14:19:23:29:34:39:45:51:57:63:69:74:80:86:92:99:105:111 1000 10 5 1 60 1 0
StoneBlade Melee 6:9:12:16:20:24:28:33:38:43:48:53:58:63:68:73:78:83:88:93 600 10 0 1 40 1 0
StoneHammer Melee 15:21:28:36:46:56:66:77:88:100:111:123:134:146:158:169:181:193:205:217 1400 30 5 2 50 1 0
StoneSpear Melee 9:12:16:21:26:32:38:44:51:57:64:70:77:83:90:97:104:110:117:124 800 5 0 1 70 1 0
StoneSword Melee 11:15:20:26:33:40:47:55:63:71:79:88:96:104:113:121:129:138:146:155 1000 10 0 1 50 1 0
WoodHammer Melee 11:15:20:26:33:40:47:55:63:71:79:88:96:104:113:121:129:138:146:155 1400 10 5 1 50 1 0

//Ranged
AutoHandCannon Ranged 11:15:20:26:33:40:47:55:63:71:80:88:96:104:112:121:129:138:146:155 350 25 0 0 0 3 0
Boomerang Ranged 20:28:35:48:58:73:85:98:113:128:143:158:173:185:200:215:230:248:263:278 1000 5 0 0 0 1 1
Bow Ranged 11:15:20:26:33:40:47:55:63:71:79:88:96:104:113:121:129:138:146:155 1000 0 0 0 0 1 0
CrossBow Ranged 13:18:25:33:41:50:59:69:79:89:99:110:120:130:141:151:162:172:183:194 1250 10 0 0 0 1 0
HandCannon Ranged 22:30:40:52:66:80:95:111:126:142:159:175:192:208:225:242:259:276:293:310 1400 25 0 0 0 1 0
FlameCannon Ranged 1:1:2:2:3:3:4:4:5:5:6:6:7:7:8:8:9:9:10:10 250 25 0 0 0 1 0
SlingShot Ranged 8:11:14:19:23:29:34:39:45:51:57:63:69:74:80:86:92:99:105:111 1000 5 0 0 0 1 0

//Robot
RobotCopperBlade Melee 8:11:15:20:25:31:37:43:49:55:61:68:74:80:87:93:100:106:113:120 600 10 0 2 64 1 0
RobotGoldBlade Melee 12:16:22:29:37:45:53:62:70:79:88:98:107:116:125:135:144:154:163:173 600 10 0 2 64 1 0
RobotIronBlade Melee 9:13:17:22:28:34:41:47:54:61:68:75:82:89:97:104:111:118:126:133 600 10 0 2 64 1 0
RobotSilverBlade Melee 10:14:19:25:31:38:45:52:60:67:75:83:90:98:106:114:122:130:138:146 600 10 0 2 64 1 0
RobotStoneBlade Melee 6:9:12:16:20:24:28:33:38:43:48:53:58:63:68:73:78:83:88:93 600 10 0 2 64 1 0
